Alliance,Countries,Entity,Id,Inflation..Most.recent.year,Regime type,Regimenarrowcat,Black.market.exchange.rates,Capital.controls,Centralized.collective.bargaining,Conscription,Controls.of.the.movement.of.capital.and.people,Credit.market.regulations,Economic.Freedom.Summary.Index,Electdem Vdem Owid,Financial.Openness,Freedom.to.own.foreign.currency.bank.accounts,Freedom.to.trade.Internationally,Gender.Legal.Rights.Adjustment,Government.consumption,Government.investment,Hours.Regulations,Impartial.courts,Impartial.Public.Administration,Indiv Libs Vdem Owid,Integrity.of.the.legal.system,Interest.rate.controls.negative.real.interest.rates.,Judicial.independence,Labor.market.regulations,Legal.enforcement.of.contracts,Legal.System...Property.Rights,Libdem Vdem Owid,Money.growth,Ownership.of.banks,Private.sector.credit,Regulation,Revenue.from.trade.taxes....of.trade.sector.,Size.of.Government,Sound.Money,Standard.deviation.of.inflation,State.ownership.of.assets,Tariffs,Transfers.and.subsidies
not a US ally,,Equatorial Guinea,49,8.649355650,Personalist rule,6,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.171,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.003,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.021,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,,Eritrea,50,8.649355650,Monarchy,8,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.083,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.118,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.023,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Estonia,Estonia,51,8.702359384,unknown,99,5.604872305,2.002733885,6.030585152,3.691914407,2.563369370,5.514799979,5.642830122,0.102,3.292791652,2.841443399,4.387980026,0.82,6.125723710,5.002757264,5.768076427,6.724425508,5.551696329,0.094,4.977324503,7.625574735,5.57,5.055546902,5.759139405,5.167599138,0.024,8.549475907,3.682206299,6.739153899,5.098970245,4.613798583,5.777475271,7.204825660,8.132992553,4.962830857,4.556382647,8.595051674
not a US ally,Eswatini,Eswatini,52,7.101357861,Monarchy,8,7.229492699,0.283665945,5.032379401,0.881231727,0.734370547,5.010238023,4.967672608,0.209,1.167257055,1.468339491,4.209221528,0.41,7.443773820,10,6.195214288,6.57,3.32,0.38,3.49,5.371803460,4.22,4.222332859,4.963383421,3.36,0.138,6.965193618,2.996624038,7.426966343,4.316124224,5.752398758,6.87,5.500494303,6.559903882,3.74,5.410879866,8.478425107
not a US ally,Ethiopia,Ethiopia,53,8.316048561,Monarchy,8,4.954944301,0.708922804,6.066473414,2.058789497,1.66,4.033592867,4.769889749,0.094,1.66,2.418247647,3.183820679,0.59,7.191468803,5.380841161,6.337494138,4.97,2.52,0.188,2.58,6.685788962,3.11,4.743284256,4.216292972,2.82,0.035,7.836224567,1.054601657,6.541627675,4.095767731,3.404542306,6.288676181,6.515944743,7.119862606,4.98,3.270713363,9.650059112
not a US ally,Fiji,Fiji,54,8.64,Democracy,0,4.8,5,6.545378145,5.799832912,5,7.27,6.25,0.522,5.321460751,5.222485775,4.7,0.76,6.56,4.11,5.451020932,8.06,9.12,0.864,6.37,8.517494000,5.66,5.502988506,6.406196936,5.91,0.386,8.96,5.280318727,7.27,5.860976033,4.3,5.68,8.7,8.5,6.39,4.3,8.347072107
not a US ally,Finland,Finland,55,9.23,Democracy,1,10,2,4.49,3,1.83,9.62,7.48,0.817,1.66,5,6.94,0.94,5.78,10,6.25,8.71,9.57,0.99,7.94,7.538860729,8.09,4.58,7.5,7.82,0.77,8.97,8.912397823,9.62,7.1,9,7.55,7.99,8.77,6.88,9,6.823589231
US ally,France,France,56,8.87,Democracy,1,9.6,2,4.49,1,1.6,8.46,6.39,0.844,1.2,0,6.98,0.59,5.81,8,4.84,8.92,9.33,0.972,6.63,6,6.78,3.44,6.25,5.67,0.762,9.84,10,9.39,5.95,9.73,6.32,7.04,9.44,6.39,9.73,5.08
not a US ally,Gabon,Gabon,57,9.92,Personalist rule,6,9.6,0,4.506701999,-6.339770895,1.13,0,4.66,0.188,2.26,0,4.84,0.41,1.49,6.51,6.013773302,2.61,4.51,0.469,3.07,8.423473357,4.06,2.274464988,4.997387537,2.29,0.105,9.32,0,5.512620499,2.731099141,3.8,4.43,7.06,9,5.28,3.8,8.744467397
not a US ally,"Gambia, The",Gambia,58,8.605073920,Multi-party authoritarian rule,5,6.977602374,2.565121445,5.829492306,3.821969056,3.049339093,6.665429388,6.141349244,0.481,3.742922134,3.152043001,5.420338518,0.82,5.956387268,5.784403212,5.568233233,7.9,6.95,0.816,5.62,7.749431532,6.76,4.984206799,6.530936148,6.16,0.336,8.688581338,5.381359975,7.287227018,5.577592578,5.957634036,5.945846305,7.397132443,8.508464659,5.6,5.888607940,7.923654530
